Step,Baseline,Naive,Reward
0,15,2,2
1,15,2,2
2,15,2,2
3,15,2,2
4,15,2,2
5,15,2,2
6,15,2,2
7,15,2,2
8,15,2,2
9,15,2,2
10,15,2,2
11,15,2,2
12,15,2,2
13,15,2,2
14,15,2,2
15,15,2,2
16,15,2,2
17,15,2,2
18,15,3,2
19,15,3,2
20,15,3,2
21,15,3,2
22,15,3,2
23,15,3,2
24,15,3,2
25,15,3,2
26,15,3,3
27,15,3,3
28,15,3,3
29,15,3,3
30,15,3,3
31,15,3,3
32,15,3,3
33,15,3,3
34,15,3,3
35,15,3,3
36,15,3,3
37,15,3,3
38,15,4,3
39,15,4,3
40,15,4,3
41,15,4,3
42,15,4,3
43,15,4,3
44,15,4,3
45,15,4,3
46,15,4,4
47,15,4,4
48,15,4,4
49,15,4,4
50,15,4,4
51,15,4,4
52,15,4,4
53,15,4,4
54,15,4,4
55,15,4,4
56,15,4,4
57,15,4,4
58,15,5,4
59,15,5,4
60,15,5,4
61,15,5,4
62,15,5,4
63,15,5,4
64,15,5,4
65,15,5,4
66,15,5,5
67,15,5,5
68,15,5,5
69,15,5,5
70,15,5,5
71,15,5,5
72,15,5,5
73,15,5,5
74,15,5,5
75,15,5,5
76,15,5,5
77,15,5,5
78,15,6,5
79,15,6,5
80,15,6,5
81,15,6,5
82,15,6,5
83,15,6,5
84,15,6,5
85,15,6,5
86,15,6,5
87,15,6,5
88,15,6,5
89,15,6,5
90,15,6,5
91,15,6,5
92,15,6,5
93,15,6,5
94,15,6,5
95,15,6,5
96,15,6,5
97,15,6,5
98,15,7,5
99,15,7,5
100,15,7,6
101,15,7,6
102,15,7,6
103,15,7,6
104,15,7,6
105,15,7,6
106,15,7,6
107,15,7,6
108,15,7,6
109,15,7,6
110,15,7,6
111,15,7,6
112,15,7,6
113,15,7,6
114,15,7,6
115,15,7,6
116,15,7,6
117,15,7,6
118,15,8,6
119,15,8,6
120,15,8,6
121,15,8,6
122,15,8,6
123,15,8,6
124,15,8,7
125,15,8,7
126,15,8,7
127,15,8,7
128,15,8,7
129,15,8,7
130,15,8,7
131,15,8,7
132,15,8,7
133,15,8,7
134,15,8,7
135,15,8,7
136,15,8,7
137,15,8,7
138,15,9,7
139,15,9,7
140,15,9,7
141,15,9,7
142,15,9,7
143,15,9,7
144,15,9,8
145,15,9,8
146,15,9,8
147,15,9,8
148,15,9,8
149,15,9,8
150,15,9,8
151,15,9,8
152,15,9,8
153,15,9,8
154,15,9,8
155,15,9,8
156,15,9,8
157,15,9,8
158,15,10,8
159,15,10,8
160,15,10,8
161,15,10,8
162,15,10,8
163,15,10,8
164,15,10,8
165,15,10,8
166,15,10,8
167,15,10,8
168,15,10,8
169,15,10,8
170,15,10,8
171,15,10,8
172,15,10,8
173,15,10,8
174,15,10,9
175,15,10,9
176,15,10,9
177,15,10,9
178,15,11,9
179,15,11,9
180,15,11,9
181,15,11,9
182,15,11,9
183,15,11,9
184,15,11,9
185,15,11,9
186,15,11,9
187,15,11,9
188,15,11,9
189,15,11,9
190,15,11,9
191,15,11,9
192,15,11,9
193,15,11,9
194,15,11,10
195,15,11,10
196,15,11,10
197,15,11,10
198,15,12,10
199,15,12,10
200,15,12,10
201,15,12,10
202,15,12,10
203,15,12,10
204,15,12,10
205,15,12,10
206,15,12,10
207,15,12,10
208,15,12,10
209,15,12,10
210,15,12,10
211,15,12,10
212,15,12,10
213,15,12,10
214,15,12,11
215,15,12,11
216,15,12,11
217,15,12,11
218,15,13,11
219,15,13,11
220,15,13,11
221,15,13,11
222,15,13,11
223,15,13,11
224,15,13,11
225,15,13,11
226,15,13,11
227,15,13,11
228,15,13,11
229,15,13,11
230,15,13,11
231,15,13,11
232,15,13,11
233,15,13,11
234,15,13,12
235,15,13,12
236,15,13,12
237,15,13,12
238,15,14,12
239,15,14,12
240,15,14,12
241,15,14,12
242,15,14,12
243,15,14,12
244,15,14,12
245,15,14,12
246,15,14,12
247,15,14,12
248,15,14,12
249,15,14,12
250,15,14,12
251,15,14,12
252,15,14,12
253,15,14,12
254,15,14,12
255,15,14,12
256,15,14,12
257,15,14,12
258,15,15,12
259,15,15,12
260,15,15,12
261,15,15,12
262,15,15,12
263,15,15,13
264,15,15,13
265,15,15,13
266,15,15,13
267,15,15,13
268,15,15,13
269,15,15,13
270,15,15,13
271,15,15,13
272,15,15,13
273,15,15,13
274,15,15,13
275,15,15,13
276,15,15,13
277,15,15,13
278,15,16,13
279,15,16,13
280,15,16,13
281,15,16,13
282,15,16,13
283,15,16,14
284,15,16,14
285,15,16,14
286,15,16,14
287,15,16,14
288,15,16,14
289,15,16,14
290,15,16,14
291,15,16,14
292,15,16,14
293,15,16,14
294,15,16,14
295,15,16,14
296,15,16,14
297,15,16,14
298,15,17,14
299,15,17,14